0.3255,0.0116,0.101,-0.195,0.9837,-0.0162,-1.7588,0.1254,3.3371,-5.4217,0.8006,-2.788,0
0.3247,0.0098,0.0996,-0.1953,0.9831,-0.0157,-1.7667,0.1244,3.313,-5.4902,0.7631,-2.8431,0
0.3239,0.0079,0.0982,-0.1955,0.9824,-0.0153,-1.7745,0.1235,3.2889,-5.5579,0.7258,-2.8977,0
0.3231,0.0061,0.0969,-0.1958,0.9817,-0.015,-1.782,0.1226,3.2646,-5.6249,0.6887,-2.9518,0
0.3223,0.0043,0.0955,-0.1961,0.9809,-0.0148,-1.7894,0.1216,3.2404,-5.6912,0.6517,-3.0054,0
0.3215,0.0025,0.0942,-0.1964,0.9801,-0.0145,-1.7967,0.1207,3.216,-5.7567,0.615,-3.0585,0
0.3208,0.0007,0.0929,-0.1967,0.9792,-0.0144,-1.8037,0.1198,3.1917,-5.8215,0.5784,-3.1111,0
0.3201,-0.0011,0.0916,-0.1969,0.9783,-0.0142,-1.8107,0.1189,3.1673,-5.8856,0.542,-3.1631,0
0.3193,-0.0029,0.0903,-0.1972,0.9773,-0.0141,-1.8174,0.118,3.1429,-5.9489,0.5059,-3.2147,0
0.3186,-0.0047,0.0891,-0.1976,0.9763,-0.014,-1.8241,0.1171,3.1185,-6.0115,0.47,-3.2657,0
0.3179,-0.0064,0.0879,-0.1979,0.9752,-0.0139,-1.8306,0.1162,3.0941,-6.0733,0.4342,-3.3163,0
0.3172,-0.0081,0.0867,-0.1982,0.9741,-0.0138,-1.8369,0.1153,3.0696,-6.1344,0.3988,-3.3663,0
0.3166,-0.0099,0.0855,-0.1985,0.973,-0.0137,-1.8432,0.1144,3.0452,-6.1948,0.3635,-3.4158,0
0.3159,-0.0116,0.0843,-0.1988,0.9718,-0.0136,-1.8493,0.1135,3.0209,-6.2544,0.3285,-3.4648,0
0.3153,-0.0133,0.0831,-0.1992,0.9705,-0.0135,-1.8553,0.1126,2.9965,-6.3133,0.2937,-3.5133,0
0.3146,-0.015,0.082,-0.1995,0.9692,-0.0135,-1.8611,0.1117,2.9721,-6.3715,0.2591,-3.5613,0
0.314,-0.0167,0.0809,-0.1999,0.9678,-0.0134,-1.8669,0.1109,2.9478,-6.429,0.2248,-3.6087,0
0.3134,-0.0183,0.0798,-0.2002,0.9664,-0.0134,-1.8725,0.11,2.9236,-6.4857,0.1907,-3.6556,0
0.3128,-0.02,0.0787,-0.2006,0.965,-0.0133,-1.8781,0.1091,2.8993,-6.5417,0.1569,-3.7021,0
0.3122,-0.0216,0.0776,-0.2009,0.9635,-0.0133,-1.8835,0.1083,2.8751,-6.597,0.1233,-3.748,0
0.3117,-0.0232,0.0765,-0.2013,0.962,-0.0132,-1.8888,0.1074,2.851,-6.6516,0.09,-3.7933,0
0.3111,-0.0248,0.0755,-0.2017,0.9604,-0.0132,-1.894,0.1066,2.8269,-6.7054,0.0569,-3.8382,0
0.3106,-0.0264,0.0745,-0.2021,0.9588,-0.0132,-1.8991,0.1058,2.8029,-6.7585,0.0241,-3.8825,0
0.3101,-0.028,0.0735,-0.2025,0.9572,-0.0131,-1.9041,0.1049,2.7789,-6.811,-0.0085,-3.9264,0
